Target_qty,Naive TempCNN,Finetuned TempCNN,Target Only,DANN,MME,Sourcerer,Sourcerer 1e5,Sourcerer 1e7
0,0.7417552359,0.7417552359,0,0.6801717637,0.6671117569,0.7417552359,0.7400667825,0.7409110092
20,0.7415377704,0.6923181309,0.0060668944,0.6856397559,0.6671117569,0.7417295156,0.7399138551,0.7407567365
50,0.7372887642,0.6833633715,0.0149873165,0.6838391056,0.6665008113,0.7416854521,0.7396606651,0.7405273858
100,0.7302707566,0.6829708219,0.042018853,0.685691589,0.6689049421,0.7417813894,0.7390974425,0.740436594
250,0.707640484,0.6402497268,0.1085487489,0.7042016634,0.6791151538,0.7424710744,0.7364281898,0.7409319078
500,0.6718588522,0.632430083,0.1267067377,0.6905733192,0.6910054805,0.7472801121,0.7327065849,0.7421644847
1000,0.6460546192,0.6630619327,0.2207658262,0.6951374941,0.7034701082,0.7536672759,0.7280433287,0.7457466837
5000,0.711416765,0.737256111,0.4508615144,0.7004126655,0.7201579711,0.7537799128,0.7341233664,0.7663880995
10000,0.7517635094,0.7513131151,0.5387335202,0.6955180424,0.7294170481,0.7520319254,0.7355000175,0.7701097942
25000,0.7623204848,0.7676065305,0.633734605,0.6941179251,0.7496439094,0.7680196173,0.764031635,0.7677153271
50000,0.7810358693,0.7867885483,0.7053621508,0.7103575929,0.7688793853,0.7835160769,0.782799295,0.7822532158
100000,0.8058928236,0.8063455461,0.7534396971,0.7111964053,0.7845442194,0.8042554942,0.8047807949,0.8031817566
500000,0.8433912812,0.8418585185,0.8266428861,0.7490675987,0.8265243174,0.8455045457,0.8410332276,0.8413146935
1000000,0.8506768395,0.8504234128,0.8419466765,0.7685544831,0.8378145697,0.8506768394,0.8487386647,0.8499851879
2000000,0.861339562,0.8609339728,0.856937318,,,0.861349263,,
4000000,0.8742212729,0.87221081,0.8735057156,,,0.8744222821,,
8000000,0.8834532692,0.8792977978,0.8836282823,,,0.8838122893,,
