Target_qty,Naive TempCNN,Finetuned TempCNN,Target Only,DANN,MME,The Sourcerer,The Sourcerer 1e5,The Sourcerer 1e7
0,0.8747427654,0.8747427654,0,0.8410743105,0.8022058229,0.8747427654,0.8739309016,0.8744180199
20,0.8703850761,0.8339937629,0.0020444053,0.8429314301,0.8022102926,0.8747344821,0.8736332087,0.8744810141
50,0.8656133405,0.785415337,0.0064707763,0.8430091521,0.8040059557,0.8747191447,0.8730623023,0.8746721835
100,0.8581669085,0.7918722762,0.0185811024,0.8396045009,0.8103356923,0.8749904909,0.871808321,0.8745856697
250,0.834072116,0.794999457,0.0548428137,0.838023471,0.8133051307,0.8750548387,0.8669040153,0.8747903594
500,0.8251946127,0.8082478119,0.1045807478,0.840090488,0.8087825306,0.8752541293,0.8537893881,0.875083974
1000,0.8128203752,0.8231731143,0.1959823817,0.843115702,0.8140715617,0.8753214918,0.8450293923,0.8750440856
5000,0.8432357985,0.8319649565,0.5435991136,0.8311408096,0.8367136168,0.8753904901,0.8305128521,0.8758021035
10000,0.8583790157,0.8549083009,0.6646299242,0.8342151521,0.8382923918,0.8754644319,0.844980461,0.8770312631
25000,0.8609393742,0.8589556425,0.7021611129,0.836796058,0.841701052,0.8775905307,0.8550801876,0.8783368756
50000,0.8607115726,0.8609209589,0.7531164383,0.8375703113,0.8490505897,0.8786906909,0.8569345069,0.8786076947
100000,0.8707235043,0.8760728703,0.8107525854,0.846514501,0.8555676225,0.8799281875,0.8692119116,0.8819427775
500000,0.8976720068,0.8985776119,0.8732941823,0.8509210383,0.8844003296,0.894227787,0.8960692996,0.8952397439
1000000,0.9032585529,0.9037252859,0.8894616781,0.865528544,0.891933124,0.9054253459,0.9010632859,0.9004766195
2000000,0.9091305645,0.9091046896,0.9024487202,,,0.9091305645,,
5000000,0.916377706,0.9161388898,0.913693833,,,0.916377706,,
9000000,0.9201667358,0.919076775,0.9182843991,,,0.9201667358,,
